1,,職業情報提供サイトjob tag「インプットデータ」,,,,,,,,,,,,,
2,,"Input data for the occupational information website ""job tag""",,,,,,,,,,,,,
3,,,,,,,,,,,,,,,
4,,【詳細版数値系ダウンロードデータ】,,・本データには左記最終更新日時点でjob tagのWebサイト上に数値系が掲載されている職業のみ収録しています。このため、「収録番号」には欠番があります。,,,,,,,,,,,
5,,version 6.01.01,,,,,,,,,,,,,
6,,,,・「回答内容」は、その項目がどのような性質の内容を尋ねているかを表します。（例：重要度、頻度、適性）,,,,,,,,,,,
7,,【情報領域】,,,,,,,,,,,,,
8,,職業興味,,・「サンプルサイズ」は原則20件以上が収録基準ですが、情報源が「就業者（直接依頼）」の職業は項目単位の無回答、無効回答等があるため20件未満となることがあります。,,,,,,,,,,,
9,,,,,,,,,,,,,,,
10,,【最終更新日】,,・「有限母集団修正適用フラグ」が「１」の職業は標準誤差に補正をかけています。（詳細はJILPT資料シリーズNo.240、第５章・第６章参照）,,,,,,,,,,,
11,,2025/10/07,,,,,,,,,,,,,
12,,,,・「データ精度への懸念フラグ」が「１」の職業は母集団推定における精度に懸念があることを示しています。このため、厳密な推計等を行う場合には分析対象から除外することが推奨されます。,,,,,,,,,,,
13,,【制作・著作】,,,,,,,,,,,,,
14,,独立行政法人　労働政策研究・研修機構,,・変数一覧、および「IPD_ID」の対応は「インプットデータ細目」のシートをご覧下さい。（エクセル版のみ）,,,,,,,,,,,
15,,,,,,,,,,,,,,,
16,本ファイル上の職業通し番号,収録番号,職業名,IPD_ID,項目名,回答内容,サンプルサイズ,平均値,標準誤差,95％信頼区間下限,95％信頼区間上限,有限母集団修正適用フラグ,データ精度への懸念フラグ,データ取得年度,情報源
17,1,1,豆腐製造、豆腐職人,IPD_04_01_001,現実的,適性,35,2.743,0.233,2.286,3.200,0,0,2018,就業者(Webモニター)
18,1,1,豆腐製造、豆腐職人,IPD_04_01_002,研究的,適性,35,2.771,0.201,2.377,3.166,0,0,2018,就業者(Webモニター)
19,1,1,豆腐製造、豆腐職人,IPD_04_01_003,芸術的,適性,35,2.629,0.197,2.242,3.015,0,0,2018,就業者(Webモニター)
20,1,1,豆腐製造、豆腐職人,IPD_04_01_004,社会的,適性,35,2.657,0.174,2.317,2.998,0,0,2018,就業者(Webモニター)
21,1,1,豆腐製造、豆腐職人,IPD_04_01_005,企業的,適性,35,2.657,0.201,2.264,3.050,0,0,2018,就業者(Webモニター)
22,1,1,豆腐製造、豆腐職人,IPD_04_01_006,慣習的,適性,35,2.686,0.191,2.311,3.061,0,0,2018,就業者(Webモニター)
23,2,2,パン製造、パン職人,IPD_04_01_001,現実的,適性,55,3.473,0.134,3.209,3.736,0,0,2018,就業者(Webモニター)
24,2,2,パン製造、パン職人,IPD_04_01_002,研究的,適性,55,3.436,0.146,3.150,3.723,0,0,2018,就業者(Webモニター)
25,2,2,パン製造、パン職人,IPD_04_01_003,芸術的,適性,55,3.255,0.147,2.966,3.543,0,0,2018,就業者(Webモニター)
26,2,2,パン製造、パン職人,IPD_04_01_004,社会的,適性,55,3.309,0.147,3.022,3.596,0,0,2018,就業者(Webモニター)
27,2,2,パン製造、パン職人,IPD_04_01_005,企業的,適性,55,3.000,0.132,2.741,3.259,0,0,2018,就業者(Webモニター)
28,2,2,パン製造、パン職人,IPD_04_01_006,慣習的,適性,55,3.236,0.132,2.977,3.496,0,0,2018,就業者(Webモニター)
29,3,3,洋菓子製造、パティシエ,IPD_04_01_001,現実的,適性,55,3.345,0.140,3.071,3.620,0,0,2018,就業者(Webモニター)
30,3,3,洋菓子製造、パティシエ,IPD_04_01_002,研究的,適性,55,3.000,0.162,2.682,3.318,0,0,2018,就業者(Webモニター)
31,3,3,洋菓子製造、パティシエ,IPD_04_01_003,芸術的,適性,55,2.945,0.173,2.606,3.284,0,0,2018,就業者(Webモニター)
32,3,3,洋菓子製造、パティシエ,IPD_04_01_004,社会的,適性,55,3.236,0.149,2.944,3.528,0,0,2018,就業者(Webモニター)
33,3,3,洋菓子製造、パティシエ,IPD_04_01_005,企業的,適性,55,2.836,0.142,2.559,3.114,0,0,2018,就業者(Webモニター)
34,3,3,洋菓子製造、パティシエ,IPD_04_01_006,慣習的,適性,55,3.455,0.132,3.196,3.713,0,0,2018,就業者(Webモニター)
35,4,4,和菓子製造、和菓子職人,IPD_04_01_001,現実的,適性,57,3.456,0.140,3.183,3.730,0,0,2018,就業者(Webモニター)
36,4,4,和菓子製造、和菓子職人,IPD_04_01_002,研究的,適性,57,3.018,0.163,2.698,3.337,0,0,2018,就業者(Webモニター)
37,4,4,和菓子製造、和菓子職人,IPD_04_01_003,芸術的,適性,57,2.877,0.156,2.571,3.184,0,0,2018,就業者(Webモニター)
38,4,4,和菓子製造、和菓子職人,IPD_04_01_004,社会的,適性,57,3.105,0.139,2.833,3.377,0,0,2018,就業者(Webモニター)
39,4,4,和菓子製造、和菓子職人,IPD_04_01_005,企業的,適性,57,2.912,0.140,2.638,3.187,0,0,2018,就業者(Webモニター)
40,4,4,和菓子製造、和菓子職人,IPD_04_01_006,慣習的,適性,57,3.105,0.139,2.833,3.377,0,0,2018,就業者(Webモニター)
41,5,5,乳製品製造,IPD_04_01_001,現実的,適性,40,3.575,0.182,3.218,3.932,0,0,2018,就業者(Webモニター)
42,5,5,乳製品製造,IPD_04_01_002,研究的,適性,40,3.050,0.156,2.744,3.356,0,0,2018,就業者(Webモニター)
43,5,5,乳製品製造,IPD_04_01_003,芸術的,適性,40,2.650,0.170,2.317,2.983,0,0,2018,就業者(Webモニター)
44,5,5,乳製品製造,IPD_04_01_004,社会的,適性,40,3.175,0.160,2.862,3.488,0,0,2018,就業者(Webモニター)
45,5,5,乳製品製造,IPD_04_01_005,企業的,適性,40,2.975,0.191,2.600,3.350,0,0,2018,就業者(Webモニター)
46,5,5,乳製品製造,IPD_04_01_006,慣習的,適性,40,3.350,0.188,2.982,3.718,0,0,2018,就業者(Webモニター)
47,6,6,水産ねり製品製造,IPD_04_01_001,現実的,適性,37,3.622,0.199,3.232,4.011,0,0,2018,就業者(Webモニター)
48,6,6,水産ねり製品製造,IPD_04_01_002,研究的,適性,37,2.892,0.215,2.471,3.313,0,0,2018,就業者(Webモニター)
49,6,6,水産ねり製品製造,IPD_04_01_003,芸術的,適性,37,2.541,0.247,2.057,3.024,0,0,2018,就業者(Webモニター)
50,6,6,水産ねり製品製造,IPD_04_01_004,社会的,適性,37,3.162,0.192,2.786,3.538,0,0,2018,就業者(Webモニター)
51,6,6,水産ねり製品製造,IPD_04_01_005,企業的,適性,37,2.838,0.214,2.418,3.257,0,0,2018,就業者(Webモニター)
52,6,6,水産ねり製品製造,IPD_04_01_006,慣習的,適性,37,3.459,0.238,2.994,3.925,0,0,2018,就業者(Webモニター)
53,7,7,冷凍加工食品製造,IPD_04_01_001,現実的,適性,42,3.476,0.146,3.191,3.761,0,0,2018,就業者(Webモニター)
54,7,7,冷凍加工食品製造,IPD_04_01_002,研究的,適性,42,2.810,0.164,2.488,3.132,0,0,2018,就業者(Webモニター)
55,7,7,冷凍加工食品製造,IPD_04_01_003,芸術的,適性,42,2.595,0.160,2.282,2.909,0,0,2018,就業者(Webモニター)
56,7,7,冷凍加工食品製造,IPD_04_01_004,社会的,適性,42,3.286,0.157,2.978,3.594,0,0,2018,就業者(Webモニター)
57,7,7,冷凍加工食品製造,IPD_04_01_005,企業的,適性,42,2.857,0.172,2.519,3.195,0,0,2018,就業者(Webモニター)
58,7,7,冷凍加工食品製造,IPD_04_01_006,慣習的,適性,42,3.333,0.159,3.022,3.644,0,0,2018,就業者(Webモニター)
59,8,8,惣菜製造,IPD_04_01_001,現実的,適性,61,3.426,0.118,3.195,3.657,0,0,2018,就業者(Webモニター)
60,8,8,惣菜製造,IPD_04_01_002,研究的,適性,61,2.508,0.134,2.247,2.770,0,0,2018,就業者(Webモニター)
61,8,8,惣菜製造,IPD_04_01_003,芸術的,適性,61,2.295,0.150,2.000,2.590,0,0,2018,就業者(Webモニター)
62,8,8,惣菜製造,IPD_04_01_004,社会的,適性,61,3.131,0.152,2.833,3.430,0,0,2018,就業者(Webモニター)
63,8,8,惣菜製造,IPD_04_01_005,企業的,適性,61,2.639,0.144,2.357,2.922,0,0,2018,就業者(Webモニター)
64,8,8,惣菜製造,IPD_04_01_006,慣習的,適性,61,3.443,0.131,3.185,3.700,0,0,2018,就業者(Webモニター)
65,9,9,清酒製造,IPD_04_01_001,現実的,適性,38,3.553,0.187,3.185,3.920,0,0,2018,就業者(Webモニター)
66,9,9,清酒製造,IPD_04_01_002,研究的,適性,38,3.105,0.229,2.657,3.554,0,0,2018,就業者(Webモニター)
67,9,9,清酒製造,IPD_04_01_003,芸術的,適性,38,2.789,0.189,2.419,3.160,0,0,2018,就業者(Webモニター)
68,9,9,清酒製造,IPD_04_01_004,社会的,適性,38,3.158,0.191,2.784,3.531,0,0,2018,就業者(Webモニター)
69,9,9,清酒製造,IPD_04_01_005,企業的,適性,38,3.026,0.190,2.653,3.400,0,0,2018,就業者(Webモニター)
70,9,9,清酒製造,IPD_04_01_006,慣習的,適性,38,3.211,0.165,2.887,3.534,0,0,2018,就業者(Webモニター)
71,10,10,みそ製造,IPD_04_01_001,現実的,適性,46,3.304,0.213,2.887,3.721,0,0,2018,就業者(Webモニター)
72,10,10,みそ製造,IPD_04_01_002,研究的,適性,46,3.000,0.187,2.634,3.366,0,0,2018,就業者(Webモニター)
73,10,10,みそ製造,IPD_04_01_003,芸術的,適性,46,2.543,0.188,2.174,2.913,0,0,2018,就業者(Webモニター)
74,10,10,みそ製造,IPD_04_01_004,社会的,適性,46,3.022,0.190,2.649,3.395,0,0,2018,就業者(Webモニター)
75,10,10,みそ製造,IPD_04_01_005,企業的,適性,46,2.935,0.174,2.593,3.276,0,0,2018,就業者(Webモニター)
76,10,10,みそ製造,IPD_04_01_006,慣習的,適性,46,3.196,0.172,2.859,3.533,0,0,2018,就業者(Webモニター)
77,11,11,しょうゆ製造,IPD_04_01_001,現実的,適性,39,3.667,0.162,3.350,3.983,0,0,2018,就業者(Webモニター)
78,11,11,しょうゆ製造,IPD_04_01_002,研究的,適性,39,3.231,0.199,2.840,3.622,0,0,2018,就業者(Webモニター)
79,11,11,しょうゆ製造,IPD_04_01_003,芸術的,適性,39,2.513,0.201,2.119,2.906,0,0,2018,就業者(Webモニター)
80,11,11,しょうゆ製造,IPD_04_01_004,社会的,適性,39,3.077,0.219,2.649,3.505,0,0,2018,就業者(Webモニター)
81,11,11,しょうゆ製造,IPD_04_01_005,企業的,適性,39,3.077,0.219,2.649,3.505,0,0,2018,就業者(Webモニター)
82,11,11,しょうゆ製造,IPD_04_01_006,慣習的,適性,39,3.436,0.187,3.070,3.802,0,0,2018,就業者(Webモニター)
83,12,12,ハム・ソーセージ・ベーコン製造,IPD_04_01_001,現実的,適性,46,3.304,0.175,2.960,3.648,0,0,2018,就業者(Webモニター)
84,12,12,ハム・ソーセージ・ベーコン製造,IPD_04_01_002,研究的,適性,46,2.739,0.182,2.382,3.097,0,0,2018,就業者(Webモニター)
85,12,12,ハム・ソーセージ・ベーコン製造,IPD_04_01_003,芸術的,適性,46,2.543,0.186,2.179,2.908,0,0,2018,就業者(Webモニター)
86,12,12,ハム・ソーセージ・ベーコン製造,IPD_04_01_004,社会的,適性,46,2.826,0.187,2.459,3.193,0,0,2018,就業者(Webモニター)
87,12,12,ハム・ソーセージ・ベーコン製造,IPD_04_01_005,企業的,適性,46,2.652,0.200,2.261,3.043,0,0,2018,就業者(Webモニター)
88,12,12,ハム・ソーセージ・ベーコン製造,IPD_04_01_006,慣習的,適性,46,3.326,0.184,2.965,3.687,0,0,2018,就業者(Webモニター)
89,13,13,ワイン製造,IPD_04_01_001,現実的,適性,24,3.708,0.266,3.188,4.229,0,0,2018,就業者(Webモニター)
90,13,13,ワイン製造,IPD_04_01_002,研究的,適性,24,3.292,0.279,2.745,3.838,0,0,2018,就業者(Webモニター)
91,13,13,ワイン製造,IPD_04_01_003,芸術的,適性,24,2.958,0.252,2.465,3.452,0,0,2018,就業者(Webモニター)
92,13,13,ワイン製造,IPD_04_01_004,社会的,適性,24,3.375,0.232,2.921,3.829,0,0,2018,就業者(Webモニター)
93,13,13,ワイン製造,IPD_04_01_005,企業的,適性,24,3.292,0.213,2.875,3.708,0,0,2018,就業者(Webモニター)
94,13,13,ワイン製造,IPD_04_01_006,慣習的,適性,24,3.375,0.239,2.906,3.844,0,0,2018,就業者(Webモニター)
95,14,14,ビール製造,IPD_04_01_001,現実的,適性,32,3.594,0.200,3.202,3.986,0,0,2018,就業者(Webモニター)
